type,url,img,name,img_ratio
silver,https://pantopix.com,pantopix.png,Pantopix,64/
silver,https://metaphacts.com/,metaphacts.png,Metaphacts,40/
silver,https://neo4j.com,neo4j.svg,Neo4j,40/
bronze,https://www.sap.com/,sap.svg,sap,40/
gold,https://graphwise.ai/,graphwise.svg,graphwise,64/
startup,https://www.asimovprotocol.org/,Asimov.png,Asimov,64/
bronze,https://www.y.digital/en-us,ydigital.png,Y-Digital,40/
